,wimp_mass,sensitivity
0,5.000000000000001,
1,5.5709569209792145,
2,6.2071122030812385,
3,6.915910937409992,6.576299666407545e-45
4,7.7056483803280065,2.4218184101959603e-45
5,8.585567035004114,1.0238050113001242e-45
6,9.56596481883743,4.883340333537745e-46
7,10.658315582669209,2.5857946115221236e-46
8,11.875403392250329,1.499482159032622e-46
9,13.231472143495395,9.383506284643176e-47
10,14.742392262509863,6.318501951290921e-47
11,16.42584644132395,4.51905699158874e-47
12,18.301536583047085,3.4074997364373126e-47
13,20.39141437837608,2.691335865987186e-47
14,22.719938211953856,2.2142230762229434e-47
15,25.31435940522088,1.8885452630261434e-47
16,28.205041145734096,1.6631467830675187e-47
17,31.425813835466176,1.5071472827512693e-47
18,35.01437101681893,1.4013550626788794e-47
19,39.01271050997625,1.3335386397305702e-47
20,43.46762592434215,1.295768956760766e-47
21,48.431254296349884,1.282850810302093e-47
22,53.96168626279089,1.2913867056860185e-47
23,60.123645910680786,1.319203106974268e-47
24,66.98924826012215,1.364999534974999e-47
25,74.63884324518439,1.4281285701459916e-47
26,83.16195607012854,1.5084562760743498e-47
27,92.6583349462104,1.6062713901774705e-47
28,103.23911847100011,1.7222298922147963e-47
29,115.02813631236224,1.8573182167015875e-47
30,128.163358419339,2.0128350209664592e-47
31,142.79850972043124,2.1903849763927444e-47
32,159.10486920651067,2.391880964109711e-47
33,177.27327445350068,2.6195544828799047e-47
34,197.51635504427549,2.875972608564437e-47
35,220.07102102809864,3.1640612353346075e-47
36,245.20123554068968,3.487133184084511e-47
37,273.20110403361195,3.848924135861126e-47
38,304.39831626704233,4.2536333446744243e-47
39,339.1579813484598,4.7059697198545915e-47
40,377.88690069970835,5.211205709414487e-47
41,421.0383289600847,5.775237275565467e-47
42,469.11727854354143,6.404652362324343e-47
43,522.6864299306153,7.106806683996635e-47
44,582.372716864775,7.889909104041282e-47
45,648.8746635214575,8.763118215116812e-47
46,722.9705595185845,9.736648268582977e-47
47,805.527568442854,1.0821888803750907e-46
48,897.5118764912552,1.203153729574692e-46
49,1000.0,1.3379747754322833e-46
