,wimp_mass,sensitivity
0,5.000000000000001,
1,5.5709569209792145,
2,6.2071122030812385,
3,6.915910937409992,3.452402318398267e-45
4,7.7056483803280065,1.3589308303078556e-45
5,8.585567035004114,6.123787263173092e-46
6,9.56596481883743,3.0987543151751564e-46
7,10.658315582669209,1.7323760415638492e-46
8,11.875403392250329,1.0557263790792945e-46
9,13.231472143495395,6.916225392032198e-47
10,14.742392262509863,4.849584342959395e-47
11,16.42584644132395,3.5970396194032916e-47
12,18.301536583047085,2.8020585068018664e-47
13,20.39141437837608,2.2784870988355493e-47
14,22.719938211953856,1.924011137462639e-47
15,25.31435940522088,1.6798648398796066e-47
16,28.205041145734096,1.5110117973799332e-47
17,31.425813835466176,1.3959856334653018e-47
18,35.01437101681893,1.3212274934873794e-47
19,39.01271050997625,1.2779841971808836e-47
20,43.46762592434215,1.2605329361716987e-47
21,48.431254296349884,1.265124089434862e-47
22,53.96168626279089,1.2893434131979955e-47
23,60.123645910680786,1.331715099458583e-47
24,66.98924826012215,1.3914615930119664e-47
25,74.63884324518439,1.468345753918583e-47
26,83.16195607012854,1.562571219338534e-47
27,92.6583349462104,1.6747218460214301e-47
28,103.23911847100011,1.8057178724734573e-47
29,115.02813631236224,1.9567959754140262e-47
30,128.163358419339,2.1294972894654744e-47
31,142.79850972043124,2.3256693596477396e-47
32,159.10486920651067,2.547474825485448e-47
33,177.27327445350068,2.7974066089683144e-47
34,197.51635504427549,3.0783112395283153e-47
35,220.07102102809864,3.3934156046988085e-47
36,245.20123554068968,3.7463597099228683e-47
37,273.20110403361195,4.141238538400472e-47
38,304.39831626704233,4.582644478216983e-47
39,339.1579813484598,5.07572169503416e-47
40,377.88690069970835,5.626222759175836e-47
41,421.0383289600847,6.240576879734997e-47
42,469.11727854354143,6.925963440699419e-47
43,522.6864299306153,7.69039559283382e-47
44,582.372716864775,8.542813657572068e-47
45,648.8746635214575,9.493188127733131e-47
46,722.9705595185845,1.0552637177315168e-46
47,805.527568442854,1.1733557447606411e-46
48,897.5118764912552,1.3049766072919906e-46
49,1000.0,1.4516665801969187e-46
